전출지별,전입지별,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,서울특별시,-,-,-,-,-,-,-,-,-,-,-,41489,44852,56416,56649,51693,47891,46454,57870,50901,43247,44988,45332,44316,44734,41601,43084,40885,38404,48592,45970,46213,45171,43145,39059,39972,42334,41585,40479,38858,35670,33008,32216,33017,34380,33570,32486,32528
,부산광역시,-,-,-,-,-,-,-,-,-,-,-,3582,3570,3400,3385,3475,3821,3970,3422,3426,3400,3124,3348,3032,2872,3117,3162,2963,2895,3256,2895,2920,3139,2922,2745,2767,2814,2949,2842,2657,2738,3213,2691,2677,3088,2930,2616,2620
,대구광역시,-,-,-,-,-,-,-,-,-,-,-,1455,1607,1722,1657,1689,1691,1660,1739,1424,1543,1676,1846,1677,1669,1954,1794,1724,1665,1942,1806,1625,1691,1670,1601,1615,1645,1843,1680,1672,1628,1585,1702,1795,1734,1691,1551,1590
,인천광역시,-,-,-,-,-,-,-,-,-,-,-,183157,200084,231796,243975,232745,216240,251771,281064,270158,318771,289666,310754,317595,327840,312087,317278,334572,284347,320946,358102,356963,359818,348781,306772,334124,347928,387006,389945,318898,303966,325441,297979,297446,295375,314622,290783,266394
,광주광역시,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1263,1344,1907,1715,1988,2383,2358,2086,2031,2046,2169,2368,2133,2388,2236,2202,2118,2213,2028,1932,2143,2350,2316,2147,2492,1979,1884,1939,2007,1894,1762,1518
,대전광역시,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,2083,2334,2619,2913,3445,3259,3370,3299,3296,3310,3525,3515,3221,3216,3196,2792,3088,2958,2742,2905,2812,2589,2820,2873,2673,2736,2756,2616,2552
,울산광역시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1025,831,1054,1015,1012,1015,1033,874,928,984,1062,1063,989,949,1081,1116,1289,1083,1359,1080,962
,세종특별자치시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,597,592,990,1496,1398,1265
,경기도,-,-,-,-,-,-,-,-,-,-,-,31488,40075,43141,41246,43284,46434,50129,51180,46940,47519,46791,49119,59301,56323,61931,60340,60913,54556,70792,67498,74456,90856,84889,71763,72226,77178,75185,75557,70474,71031,65332,65127,63331,65903,66353,66764,67838
,강원도,-,-,-,-,-,-,-,-,-,-,-,4390,4228,4121,4004,4383,4467,4376,3769,4011,4284,4336,4795,4745,4444,5129,5474,5737,6572,6661,5512,5898,5834,5950,5565,5186,4908,5581,6033,5866,5808,5695,5339,5573,5549,5904,5598,5396
